person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_int_rate_decimal,interest_earned,actual_profit
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.1602,5607.0,-35000.0
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.1114,111.4,111.4
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.12869999999999998,707.8499999999999,-5500.0
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.1523,5330.5,-35000.0
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.1427,4994.5,-35000.0
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.07139999999999999,178.49999999999997,-2500.0
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.1242,4347.0,-35000.0
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.11109999999999999,3888.4999999999995,-35000.0
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.08900000000000001,3115.0000000000005,-35000.0
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.1474,235.84,-1600.0
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.10369999999999999,3629.4999999999995,-35000.0
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.0863,388.35,-4500.0
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.079,2765.0,-35000.0
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.1839,6436.5,-35000.0
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.079,2765.0,2765.0
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.1065,3195.0,3195.0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.079,2765.0,2765.0
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.2025,7087.500000000001,-35000.0
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.1825,6387.5,-35000.0
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.1099,192.325,-1750.0
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.07490000000000001,2621.5000000000005,2621.5000000000005
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.1677,5835.959999999999,5835.959999999999
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.17579999999999998,5977.2,-34000.0
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.0729,109.35000000000001,109.35000000000001
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.1454,4936.33,-33950.0
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.1268,4184.4,-33000.0
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.17739999999999997,811.6049999999999,-4575.0
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.0932,130.48000000000002,130.48000000000002
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.0999,3246.75,-32500.0
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.1284,513.5999999999999,-4000.0
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.1112,222.39999999999998,-2000.0
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.0662,2118.3999999999996,2118.3999999999996
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.1417,4399.785,-31050.0
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.13849999999999998,3358.6249999999995,3358.6249999999995
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.1349,1052.22,1052.22
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.0751,187.75,-2500.0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.1839,5517.0,-30000.0
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.1454,4362.0,-30000.0
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.1689,5067.0,-30000.0
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,0.1099,3297.0,-30000.0
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.17989999999999998,5396.999999999999,-30000.0
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.12689999999999999,317.24999999999994,-2500.0
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.0788,1576.0,1576.0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.1941,4706.925,4706.925
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.1038,1038.0,1038.0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.1533,3832.5,3832.5
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.16449999999999998,2960.9999999999995,2960.9999999999995
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.07490000000000001,2247.0000000000005,-30000.0
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.12689999999999999,3806.9999999999995,-30000.0
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.0662,1985.9999999999998,-30000.0
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,0.1099,3297.0,-30000.0
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.1862,5586.0,-30000.0
